traj,pulso,t,lat,lon,p_hPa,theta_K,AOD
1o_02-06mai_2024-05-03_-29.0_-50.0,1o_02-06mai,2024-04-29 12:00:00,-21.9736154766508,-50.924147491931755,1000.0,298.8662685071491,0.05176647375210469
1o_02-06mai_2024-05-03_-29.0_-50.0,1o_02-06mai,2024-04-29 06:00:00,-21.738704010306886,-50.63216741467686,1000.0,298.8662685071491,0.025109305894099564
1o_02-06mai_2024-05-03_-29.0_-50.0,1o_02-06mai,2024-04-29 00:00:00,-21.478620026648667,-50.54245911023833,1000.0,298.8662685071491,0.025203518286848244
1o_02-06mai_2024-05-03_-29.0_-50.0,1o_02-06mai,2024-04-28 18:00:00,-21.1430367335433,-50.76990819773773,1000.0,298.8662685071491,0.02727305324032708
1o_02-06mai_2024-05-03_-29.0_-50.0,1o_02-06mai,2024-04-28 12:00:00,-20.716058427106084,-50.86351335265353,1000.0,298.8662685071491,0.0286176456197159
1o_02-06mai_2024-05-03_-29.0_-50.0,1o_02-06mai,2024-04-28 06:00:00,-20.22660464246232,-50.678356194167634,1000.0,298.8662685071491,0.04628864733806065
1o_02-06mai_2024-05-03_-29.0_-50.0,1o_02-06mai,2024-04-28 00:00:00,-19.86138472458777,-50.44095898154745,1000.0,298.8662685071491,0.0519611874618053
1o_02-06mai_2024-05-03_-29.0_-50.0,1o_02-06mai,2024-04-27 18:00:00,-19.451871295342453,-50.36834770566159,1000.0,298.8662685071491,0.0597275883160048
1o_02-06mai_2024-05-03_-29.0_-50.0,1o_02-06mai,2024-04-27 12:00:00,-19.026334259284948,-50.190247988270265,1000.0,298.8662685071491,0.05927618367463732
1o_02-06mai_2024-05-03_-29.0_-50.0,1o_02-06mai,2024-04-27 06:00:00,-18.745647189284174,-49.78585906298564,1000.0,298.8662685071491,0.037830363483987405
1o_02-06mai_2024-05-03_-29.0_-50.0,1o_02-06mai,2024-04-27 00:00:00,-18.512164008050103,-49.44564636826412,1000.0,298.8662685071491,0.03508429669615002
1o_02-06mai_2024-05-03_-29.0_-50.0,1o_02-06mai,2024-04-26 18:00:00,-18.3457705771419,-49.03678699197501,1000.0,298.8662685071491,0.029029317629563216
1o_02-06mai_2024-05-03_-29.0_-50.0,1o_02-06mai,2024-04-26 12:00:00,-18.273179965560097,-48.572477163736785,1000.0,298.8662685071491,0.023874934393766187
1o_02-06mai_2024-05-03_-29.0_-50.0,1o_02-06mai,2024-04-26 06:00:00,-18.265028080919237,-48.19190034634865,1000.0,298.8662685071491,0.03588257546101712
