traj,pulso,t,lat,lon,p_hPa,theta_K,AOD
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-10 20:00:00,-21.7000793308887,-55.900310514783506,938.7984828940665,306.4254987741379,0.022379338215615142
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-10 19:00:00,-21.5203475523389,-55.922893095306605,940.9506301969406,306.48420369602854,0.021561533568050052
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-10 18:00:00,-21.3446200839427,-55.926138528070844,942.571902614868,306.6193913863214,0.02000690000736728
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-10 17:00:00,-21.17848406567276,-55.909535952456146,943.6917549444754,306.33944145313285,0.022668942454650096
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-10 16:00:00,-21.02834813732511,-55.87181855729826,944.5643194625895,305.65757114741155,0.023607225043016267
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-10 15:00:00,-20.89470373078359,-55.811659179451276,945.1454506571538,304.99674125676324,0.024340411645827013
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-10 14:00:00,-20.77694839017293,-55.72669503765774,945.1172929936613,304.372461243333,0.02406344290752224
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-10 13:00:00,-20.672684008121223,-55.61581540139675,944.36145284284,303.7300160718146,0.02235211004550736
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-10 12:00:00,-20.57683650409156,-55.47908966089477,943.0424492690593,303.1205951054627,0.01959507829698801
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-10 11:00:00,-20.478173465037045,-55.34756848778299,941.516090196278,302.9682127752357,0.023277234718703348
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-10 10:00:00,-20.379707109802585,-55.240479315276936,939.4706542659134,303.258861701947,0.027619133064443527
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-10 09:00:00,-20.290322010203724,-55.15287877116725,936.8744031911651,303.54557093865236,0.032435024735671114
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-10 08:00:00,-20.22146489210055,-55.081130742424435,934.0296153900317,303.80390976525536,0.03765269955164289
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-10 07:00:00,-20.18554428158399,-55.021058557714106,931.4614355123858,304.03891065309546,0.04318962181269994
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-10 06:00:00,-20.18938787021248,-54.97229464105949,929.4745157552692,304.23059678048446,0.049306096355354115
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-10 05:00:00,-20.21404448112313,-54.94658239416599,928.9794683651621,304.42016402262595,0.04959638818871737
