datetime,Jz_rms,absJz,nst,Kp_max,Dst_min,aod550_total,aod550_org,aod550_bc,aod550_fumaca
2024-03-14,6.08703624137251,4.1126497740192915,9.0,3.0,-12.0,0.15198514,0.08486338,0.007855667,0.09271905
2024-03-15,6.430476888600982,4.151202880452222,9.0,3.333,-16.0,0.1592183,0.09004496,0.008457284,0.09850225
2024-03-16,27.270474206954884,11.250337337490741,9.31578947368421,0.667,-3.0,0.16341314,0.09436399,0.008791816,0.1031558
2024-03-17,10.814499117666875,7.607596315246666,10.0,0.333,1.0,0.15913412,0.091696315,0.008305345,0.10000166
2024-03-18,66.00206034745554,39.065487529883505,9.884210526315789,2.667,-15.0,0.14722723,0.083407156,0.007387365,0.09079452
2024-03-19,10.151117764580732,8.456220471253982,10.978947368421053,2.667,-25.0,0.1516476,0.085219145,0.007246446,0.092465594
2024-03-20,7.831542804342717,5.019919175533264,10.905263157894737,2.333,-6.0,0.16700652,0.094402745,0.008081131,0.102483876
2024-03-21,8.495706728178378,5.902074525988426,10.115789473684211,4.667,-74.0,0.18252583,0.102900416,0.009458863,0.11235928
2024-03-22,10.78583250584374,6.0816925459414755,10.726315789473684,3.333,-51.0,0.18264146,0.0999921,0.009725768,0.10971786
2024-03-23,14.59365248051673,11.376648273263022,10.863157894736842,5.667,-79.0,0.1765025,0.097284675,0.010245023,0.1075297
2024-03-24,18.24044460824404,13.347721081461657,9.947368421052632,8.333,,0.17395663,0.096900724,0.011170689,0.10807142
2024-03-25,11.449085067640981,7.553117008433085,8.621052631578948,5.0,-88.0,0.17117628,0.09841085,0.012384662,0.11079551
2024-03-26,19.149253661370505,9.656412387881357,7.578947368421052,3.0,-57.0,0.19185023,0.1129071,0.015184848,0.12809195
2024-03-27,11.777977271446636,8.595530482894667,7.178947368421053,3.0,-33.0,0.20722884,0.12462427,0.017538834,0.1421631
2024-03-28,33.35979269100564,13.44447753657013,7.5473684210526315,2.667,-17.0,0.21139614,0.12600261,0.017065663,0.14306827
2024-03-29,9.158857413833717,6.676604035633548,8.926315789473684,1.667,-10.0,0.20240161,0.117994994,0.014723565,0.13271856
2024-03-30,12.366057365924382,7.9415186457292775,7.989473684210527,1.667,-5.0,0.1808439,0.10519305,0.0123261,0.11751915
2024-03-31,11.44695067034126,8.445975539240237,8.0,3.667,-17.0,0.1567166,0.092923254,0.009774637,0.102697894
2024-04-01,45.174308186521294,20.520975916553702,8.536842105263158,3.667,-33.0,0.14927213,0.08706934,0.008784847,0.09585419
2024-04-02,7.010823508036038,4.992231912658024,7.589473684210526,2.667,-21.0,0.14757523,0.08504442,0.007746353,0.092790775
2024-04-03,37.19253875492576,17.877753898855918,9.621052631578948,2.667,-12.0,0.12974633,0.07335919,0.0065218634,0.07988105
2024-04-04,6.897889933711466,5.552914573270875,11.652631578947368,3.333,-21.0,0.12804773,0.071832135,0.0061884024,0.07802054
2024-04-05,20.661004429197128,9.624271261774727,10.705263157894738,3.333,-23.0,0.14375894,0.0806446,0.0063841627,0.087028764
2024-04-06,8.683372593047885,6.211120755421678,10.0,3.0,-27.0,0.14705925,0.07932055,0.0059385463,0.085259095
2024-04-07,8.52879785005573,5.443300671534489,9.536842105263158,2.333,-21.0,0.14972965,0.07701431,0.0058058114,0.082820125
2024-04-08,10.13572479206123,6.309410350708004,9.073684210526316,3.333,-23.0,0.15140712,0.07929978,0.0058187386,0.08511852
2024-04-09,24.400548430743644,10.166240687905432,10.526315789473685,3.333,-18.0,0.14803603,0.07888569,0.0059866793,0.084872365
2024-04-10,12.968730237537965,7.875730549459131,11.989473684210527,2.667,-9.0,0.150099,0.08007234,0.006780177,0.08685252
2024-04-11,14.146594620085791,6.456235095671032,11.442105263157895,2.667,-2.0,0.14728028,0.07826062,0.007049565,0.08531019
2024-04-12,8.669725436558542,5.53126440867107,10.8,2.333,-1.0,0.15673386,0.082267344,0.0069134296,0.08918077
2024-04-13,9.66502588107884,6.4150138183428504,11.147368421052631,2.0,2.0,0.16697341,0.08953229,0.0074494006,0.0969817
2024-04-14,9.003557445301336,5.892456527067497,11.810526315789474,1.667,1.0,0.16257112,0.08718501,0.0074835145,0.09466852
2024-04-15,13.727309601310077,8.361308371755364,10.0,2.667,-16.0,0.16430455,0.087797225,0.007384075,0.0951813
2024-04-16,12.887783555061523,10.651269843421284,10.115789473684211,5.333,-65.0,0.1560895,0.08193066,0.0067899134,0.088720575
2024-04-17,8.670919713897424,6.037951054307727,10.494736842105263,3.0,-49.0,0.13643983,0.06902952,0.00535936,0.07438888
2024-04-18,9.754813733155672,6.916567698644589,7.71578947368421,1.667,-13.0,0.1255059,0.0595557,0.0039568823,0.06351258
2024-04-19,29.70534530288667,14.317670895841346,9.778947368421052,7.0,-117.0,0.11971333,0.05288507,0.0033316629,0.056216735
2024-04-20,14.642688716489578,9.545682711769905,10.294736842105262,2.667,-68.0,0.11593659,0.05113746,0.0031498584,0.054287314
2024-04-21,11.917148886883881,8.522041258355424,9.2,4.0,-65.0,0.119864725,0.055495832,0.0033389456,0.058834776
2024-04-22,15.581259509142587,10.319872640753703,9.421052631578947,2.333,-46.0,0.11463015,0.055095594,0.003251836,0.05834743
2024-04-23,14.554885413759328,10.031647607124388,9.505263157894737,2.667,-30.0,0.11132931,0.05412872,0.0033269357,0.05745566
2024-04-24,10.750704627233493,7.249699998609056,9.83157894736842,1.0,-19.0,0.111748576,0.055149987,0.003573161,0.058723148
2024-04-25,10.819849020192754,6.9524294942163385,10.178947368421053,0.667,-7.0,0.11482899,0.056946333,0.0036046251,0.060550958
2024-04-26,12.163126253324725,8.42574670841225,10.473684210526315,5.0,-51.0,0.11838723,0.05961341,0.0036423677,0.06325578
2024-04-27,8.395173746277612,6.380755660686194,11.505263157894737,3.333,-39.0,0.11997795,0.059052348,0.00376393,0.06281628
2024-04-28,10.457182973561572,6.996678102520492,11.884210526315789,3.667,-39.0,0.115851805,0.057010382,0.0037825622,0.060792945
2024-04-29,10.247645405193417,7.513569550094054,9.757894736842106,2.667,-10.0,0.104164004,0.053581424,0.0036694463,0.05725087
2024-04-30,10.134522305524879,7.0481980640422215,10.989473684210527,4.333,-17.0,0.09661241,0.049099386,0.0035721129,0.0526715
2024-05-01,9.366345965709087,7.043445535592909,11.0,3.667,-26.0,0.10508381,0.055036224,0.0039470205,0.058983244
2024-05-02,7.110093648405764,5.1970472184509955,11.0,6.667,-89.0,0.113236964,0.058803275,0.003999506,0.062802784
2024-05-03,29.999415157694788,18.63495976861646,11.51578947368421,4.0,-55.0,0.119659126,0.060249817,0.0039610644,0.06421088
2024-05-04,16.433079032233717,9.230014766334744,9.694736842105263,3.0,-18.0,0.13393986,0.06627791,0.0041940394,0.07047194
2024-05-05,7.649380127958219,5.583162021377004,9.421052631578947,4.333,-39.0,0.13628149,0.06625475,0.004099502,0.07035425
2024-05-06,7.831972402111539,5.882880156408577,9.68421052631579,5.333,-43.0,0.12911624,0.061444692,0.003857799,0.06530249
2024-05-07,31.75693690368003,16.604679672125283,9.25263157894737,2.667,-15.0,0.12258515,0.058747888,0.003876225,0.06262411
2024-05-08,10.628796798961147,6.793855155903077,9.905263157894737,2.0,3.0,0.11863326,0.058292337,0.0039416584,0.062233992
2024-05-09,9.310131229542494,5.611720204709599,10.25263157894737,2.333,13.0,0.11800478,0.05663173,0.0037511084,0.060382836
2024-05-10,13.480600603743284,9.695781440990684,10.989473684210527,8.667,-339.0,0.11791321,0.057954084,0.0038442016,0.061798286
2024-05-11,17.111085243701872,11.103375509944314,10.642105263157895,9.0,-406.0,0.120752215,0.06031789,0.004170765,0.06448866
2024-05-12,11.984892054767464,9.200481878626979,11.0,7.0,-150.0,0.11911743,0.06183912,0.0043158988,0.06615502
2024-05-13,9.67761548582676,7.756709090015124,11.0,6.0,-93.0,0.11957518,0.06247945,0.0044341176,0.06691357
