T_bin,refl39_med,re_proxy_med,celula,metade,quando,n,valido_re,onda
-50.0,0.02637047453364381,8.332284442705978,C9,frente,2024-05-06 1300UT,1642,1,O2_surto_06-08mai
-45.0,0.03312249553412804,6.898358224924957,C9,frente,2024-05-06 1300UT,367,1,O2_surto_06-08mai
-40.0,0.03727312481183121,6.343265577379216,C9,frente,2024-05-06 1300UT,155,1,O2_surto_06-08mai
-35.0,0.04213745314820877,5.895761288716855,C9,frente,2024-05-06 1300UT,36,1,O2_surto_06-08mai
-70.0,0.02557974363992608,8.559258080696313,C9,traseira,2024-05-06 1300UT,1934,1,O2_surto_06-08mai
-65.0,0.024558051591827088,8.875571292818272,C9,traseira,2024-05-06 1300UT,4851,1,O2_surto_06-08mai
-60.0,0.023103991995008538,9.37481729263622,C9,traseira,2024-05-06 1300UT,4092,1,O2_surto_06-08mai
-55.0,0.021994333095140116,9.798657975578063,C9,traseira,2024-05-06 1300UT,2931,1,O2_surto_06-08mai
-50.0,0.020567409222775782,10.404579375251483,C9,traseira,2024-05-06 1300UT,1836,1,O2_surto_06-08mai
-45.0,0.020208166324435617,10.56882188776703,C9,traseira,2024-05-06 1300UT,921,1,O2_surto_06-08mai
-40.0,0.020229311661414697,10.559017643772926,C9,traseira,2024-05-06 1300UT,593,1,O2_surto_06-08mai
-35.0,0.025115976763614004,8.699516326526757,C9,traseira,2024-05-06 1300UT,232,1,O2_surto_06-08mai
-30.0,0.03826595099717888,6.236603034317054,C9,traseira,2024-05-06 1300UT,105,1,O2_surto_06-08mai
-25.0,0.04475380175016325,5.720284580121004,C9,traseira,2024-05-06 1300UT,52,1,O2_surto_06-08mai
-20.0,0.05492871098799036,5.308556113960586,C9,traseira,2024-05-06 1300UT,58,1,O2_surto_06-08mai
-15.0,0.061084381111648565,5.189956598983727,C9,traseira,2024-05-06 1300UT,36,1,O2_surto_06-08mai
-60.0,0.025280250510785585,8.649962318548255,C1,frente,2024-05-06 1300UT,14,1,O2_surto_06-08mai
-55.0,0.02544386448288275,8.599789391616284,C1,frente,2024-05-06 1300UT,211,1,O2_surto_06-08mai
-50.0,0.020794383903017622,10.303345934605122,C1,frente,2024-05-06 1300UT,104,1,O2_surto_06-08mai
-45.0,0.01763076123805823,11.90307716747578,C1,frente,2024-05-06 1300UT,67,1,O2_surto_06-08mai
-40.0,0.01728202750651312,12.106884452125689,C1,frente,2024-05-06 1300UT,18,1,O2_surto_06-08mai
-60.0,0.024960900336420008,8.747626246055376,C1,traseira,2024-05-06 1300UT,12,1,O2_surto_06-08mai
-55.0,0.024794771213492075,8.799868798932053,C1,traseira,2024-05-06 1300UT,130,1,O2_surto_06-08mai
-50.0,0.025891056860670877,8.46810838023531,C1,traseira,2024-05-06 1300UT,151,1,O2_surto_06-08mai
-45.0,0.031809625952634195,7.117836860478189,C1,traseira,2024-05-06 1300UT,47,1,O2_surto_06-08mai
-40.0,0.04408802836100456,5.761346041703488,C1,traseira,2024-05-06 1300UT,20,1,O2_surto_06-08mai
-35.0,0.06014392730300014,5.200192435238536,C1,traseira,2024-05-06 1300UT,6,1,O2_surto_06-08mai
-65.0,0.02218110817923377,9.93506793330286,C6,frente,2024-05-06 1300UT,6,1,O2_surto_06-08mai
-60.0,0.022722668332720332,9.516109548382286,C6,frente,2024-05-06 1300UT,52,1,O2_surto_06-08mai
-55.0,0.019664878098848235,10.826739258833086,C6,frente,2024-05-06 1300UT,103,1,O2_surto_06-08mai
-50.0,0.016536680782402564,12.562037389089681,C6,frente,2024-05-06 1300UT,55,1,O2_surto_06-08mai
-45.0,0.014895288257816476,13.670934975503101,C6,frente,2024-05-06 1300UT,44,1,O2_surto_06-08mai
-40.0,0.016455087876533388,12.61422586043313,C6,frente,2024-05-06 1300UT,58,1,O2_surto_06-08mai
-35.0,0.01699947066697799,12.275953182181329,C6,frente,2024-05-06 1300UT,43,1,O2_surto_06-08mai
-30.0,0.019764953941270084,10.778427281887154,C6,frente,2024-05-06 1300UT,22,1,O2_surto_06-08mai
-25.0,0.03235532648417485,7.023685137095381,C6,frente,2024-05-06 1300UT,17,1,O2_surto_06-08mai
-20.0,0.02903646367153629,7.671215611299911,C6,frente,2024-05-06 1300UT,14,1,O2_surto_06-08mai
-15.0,0.0378705054112105,6.278032684977341,C6,frente,2024-05-06 1300UT,11,1,O2_surto_06-08mai
-60.0,0.025018698269415142,8.729618162866299,C6,traseira,2024-05-06 1300UT,71,1,O2_surto_06-08mai
-55.0,0.023438389727707842,9.254601598772997,C6,traseira,2024-05-06 1300UT,150,1,O2_surto_06-08mai
-50.0,0.02219999177672817,9.717124839726575,C6,traseira,2024-05-06 1300UT,124,1,O2_surto_06-08mai
-45.0,0.022401249700148597,9.638664832978222,C6,traseira,2024-05-06 1300UT,35,1,O2_surto_06-08mai
-40.0,0.029605095377324808,7.558565161527286,C6,traseira,2024-05-06 1300UT,12,1,O2_surto_06-08mai
-35.0,0.02380388395407919,9.130420530795693,C6,traseira,2024-05-06 1300UT,12,1,O2_surto_06-08mai
-25.0,0.03803125340270336,6.2729353117982445,C6,traseira,2024-05-06 1300UT,8,1,O2_surto_06-08mai
-20.0,0.07335480333193205,5.066423597871886,C6,traseira,2024-05-06 1300UT,9,1,O2_surto_06-08mai
-15.0,0.02858704617223893,7.770266524981919,C6,traseira,2024-05-06 1300UT,7,1,O2_surto_06-08mai
-70.0,0.024929314159969365,8.757502622149266,C14,inteira,2024-05-06 1300UT,3014,1,O2_surto_06-08mai
-65.0,0.024991837254272016,8.737975957657982,C14,inteira,2024-05-06 1300UT,5303,1,O2_surto_06-08mai
-60.0,0.025737377731607027,8.512808654716858,C14,inteira,2024-05-06 1300UT,7173,1,O2_surto_06-08mai
-55.0,0.02422858802227326,8.983450405605325,C14,inteira,2024-05-06 1300UT,4407,1,O2_surto_06-08mai
-50.0,0.02524025018772021,8.661391254453969,C14,inteira,2024-05-06 1300UT,2207,1,O2_surto_06-08mai
-45.0,0.029158542493145284,7.641425834565121,C14,inteira,2024-05-06 1300UT,502,1,O2_surto_06-08mai
-40.0,0.033014196235535594,6.915568340274332,C14,inteira,2024-05-06 1300UT,79,1,O2_surto_06-08mai
-35.0,0.04106426831141325,5.979390364799945,C14,inteira,2024-05-06 1300UT,15,1,O2_surto_06-08mai
-70.0,0.02199480399154624,9.798469673373129,C9,frente,2024-05-06 1400UT,1465,1,O2_surto_06-08mai
-65.0,0.02121211323058136,10.12187856590541,C9,frente,2024-05-06 1400UT,3494,1,O2_surto_06-08mai
-60.0,0.020373100616562705,10.492804783237709,C9,frente,2024-05-06 1400UT,2740,1,O2_surto_06-08mai
-55.0,0.018681826619609793,11.324168077789281,C9,frente,2024-05-06 1400UT,2504,1,O2_surto_06-08mai
-50.0,0.017198190673619676,12.156455578837182,C9,frente,2024-05-06 1400UT,1482,1,O2_surto_06-08mai
-45.0,0.017397966183278907,12.03830142632586,C9,frente,2024-05-06 1400UT,731,1,O2_surto_06-08mai
-40.0,0.01992248605380174,10.703000082991537,C9,frente,2024-05-06 1400UT,284,1,O2_surto_06-08mai
-35.0,0.0310534980882442,7.255577131394091,C9,frente,2024-05-06 1400UT,153,1,O2_surto_06-08mai
-30.0,0.04087973470102815,5.9945676322092325,C9,frente,2024-05-06 1400UT,83,1,O2_surto_06-08mai
-25.0,0.04124862153917411,5.964459202545664,C9,frente,2024-05-06 1400UT,85,1,O2_surto_06-08mai
-20.0,0.059100397418372794,5.218537225553133,C9,frente,2024-05-06 1400UT,74,1,O2_surto_06-08mai
-15.0,0.05492383098241086,5.3085755615494294,C9,frente,2024-05-06 1400UT,91,1,O2_surto_06-08mai
-70.0,0.0202728691901662,10.539746551044772,C9,traseira,2024-05-06 1400UT,8,1,O2_surto_06-08mai
-65.0,0.01849349359353365,11.424205179346345,C9,traseira,2024-05-06 1400UT,3516,1,O2_surto_06-08mai
-60.0,0.019076777346785916,11.119411528918214,C9,traseira,2024-05-06 1400UT,4606,1,O2_surto_06-08mai
-55.0,0.018096759733499564,11.640146804741871,C9,traseira,2024-05-06 1400UT,3500,1,O2_surto_06-08mai
-50.0,0.018441187229756205,11.452268536296426,C9,traseira,2024-05-06 1400UT,1356,1,O2_surto_06-08mai
-45.0,0.02301969319937478,9.405657960813729,C9,traseira,2024-05-06 1400UT,133,1,O2_surto_06-08mai
-40.0,0.031090003129167706,7.24944105249994,C9,traseira,2024-05-06 1400UT,14,1,O2_surto_06-08mai
-70.0,0.01828060956971333,11.539189660154793,C14,frente,2024-05-06 1400UT,280,1,O2_surto_06-08mai
-65.0,0.01992059544024774,10.70388636906421,C14,frente,2024-05-06 1400UT,1939,1,O2_surto_06-08mai
